1,0,0,0,500
0,1,0,0,300
0,0,1,0,400
0,0,0,1,600
1,0,0,0,700
0,1,0,0,250
0,0,1,0,500
0,0,0,1,800
1,0,0,0,350
0,1,0,0,100
0,0,1,0,450
0,0,0,1,550
1,0,0,0,500
0,1,0,0,700
0,0,1,0,300
0,0,0,1,1000
1,0,0,0,600
0,1,0,0,500
0,0,1,0,200
0,0,0,1,700
1,0,0,0,750
0,1,0,0,400
0,0,1,0,600
0,0,0,1,550
1,0,0,0,300
0,1,0,0,800
0,0,1,0,350
0,0,0,1,500
1,0,0,0,450
0,1,0,0,200
0,0,1,0,600
0,0,0,1,700
1,0,0,0,400
0,1,0,0,1000
0,0,1,0,500
0,0,0,1,300
1,0,0,0,550
0,1,0,0,600
0,0,1,0,700
0,0,0,1,100
1,0,0,0,800
0,1,0,0,450
0,0,1,0,350
0,0,0,1,500
1,0,0,0,650
0,1,0,0,550
0,0,1,0,200
0,0,0,1,1000
1,0,0,0,300
0,1,0,0,700
0,0,1,0,600
0,0,0,1,350
1,0,0,0,450
0,1,0,0,600
0,0,1,0,100
0,0,0,1,700
1,0,0,0,500
0,1,0,0,450
0,0,1,0,800
0,0,0,1,550
1,0,0,0,650
0,1,0,0,1000
0,0,1,0,400
0,0,0,1,200
1,0,0,0,700
0,1,0,0,600
0,0,1,0,550
0,0,0,1,800
1,0,0,0,300
0,1,0,0,500
0,0,1,0,350
0,0,0,1,600
1,0,0,0,750
0,1,0,0,200
0,0,1,0,500
0,0,0,1,300
1,0,0,0,600
0,1,0,0,700
0,0,1,0,100
0,0,0,1,800
1,0,0,0,350
0,1,0,0,550
0,0,1,0,600
0,0,0,1,450
1,0,0,0,250
0,1,0,0,400
0,0,1,0,700
0,0,0,1,500
1,0,0,0,600
0,1,0,0,700
0,0,1,0,200
0,0,0,1,650
1,0,0,0,300
0,1,0,0,600
0,0,1,0,400
0,0,0,1,800
1,0,0,0,750
0,1,0,0,500
0,0,1,0,350
0,0,0,1,700
1,0,0,0,450
0,1,0,0,650
0,0,1,0,300
0,0,0,1,500
1,0,0,0,600
0,1,0,0,800
0,0,1,0,400
0,0,0,1,100
1,0,0,0,750
0,1,0,0,350
0,0,1,0,600
0,0,0,1,450
1,0,0,0,300
0,1,0,0,500
0,0,1,0,700
0,0,0,1,600
1,0,0,0,200
0,1,0,0,450
0,0,1,0,300
0,0,0,1,800
1,0,0,0,550
0,1,0,0,600
0,0,1,0,700
0,0,0,1,100
1,0,0,0,750
0,1,0,0,450
0,0,1,0,600
0,0,0,1,700
1,0,0,0,300
0,1,0,0,500
0,0,1,0,200
0,0,0,1,800
1,0,0,0,700
0,1,0,0,350
0,0,1,0,450
0,0,0,1,600
1,0,0,0,750
0,1,0,0,500
0,0,1,0,400
0,0,0,1,350
